SiteNumber,IslandCode,IslandName,SiteCode,SiteName,SurveyYear,Date,shannon,ReserveStatus,Reference,HorizontalSecci,Surge,MeanDepth,survey
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,1.438981063999742,Outside,FALSE,13,10,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,1.9917316938134086,Outside,FALSE,13.1,30,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,1.9917316938134086,Outside,FALSE,6.5,7,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,1.2069479159512544,Outside,FALSE,10.3,23,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,1.2069479159512544,Outside,FALSE,9.8,NA,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,0.8210359280520376,Outside,FALSE,4.8,30,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-08-17,0.43176089009378693,Outside,FALSE,11.9,13,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,0.43176089009378693,Outside,FALSE,8.5,12,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-07-24,1.8811727137668781,Outside,FALSE,10.2,20,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,1.8811727137668781,Outside,FALSE,13.5,35,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-07-23,1.41801844954103,Outside,FALSE,11.1,45,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,1.41801844954103,Outside,FALSE,6.7,2,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,1992-09-16,1.6109737045390584,Outside,FALSE,11,20,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,1993-07-14,1.7650493280753063,Outside,FALSE,8.5,80,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,1993-09-14,1.7650493280753063,Outside,FALSE,9,20,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1994-07-12,1.677778273257618,Outside,FALSE,12,7,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1994-09-27,1.677778273257618,Outside,FALSE,7.4,28,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-08-23,1.1008515970898343,Outside,FALSE,9.5,12,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-09-28,1.1008515970898343,Outside,FALSE,10,40,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-07-23,1.983932850482094,Outside,FALSE,8.2,40,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-09-18,1.983932850482094,Outside,FALSE,6.6,18,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-07-08,1.4533982057645853,Outside,FALSE,10.2,20,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-09-24,1.4533982057645853,Outside,FALSE,5.4,50,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1998,1998-07-07,0.8612610410771054,Outside,FALSE,11,30,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1998,1998-09-15,0.8612610410771054,Outside,FALSE,12.5,10,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1999,1999-06-30,1.6335113715597038,Outside,FALSE,6.1,20,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,1999,1999-09-15,1.6335113715597038,Outside,FALSE,9.8,25,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,2000,2000-06-28,1.0581884884502923,Outside,FALSE,8,85,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,2000,2000-08-30,1.0581884884502923,Outside,FALSE,7.7,20,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,2001-07-17,1.6420115046266894,Outside,FALSE,6.5,20,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,2001-09-18,1.6420115046266894,Outside,FALSE,6.5,70,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,2002-07-25,1.4379935058776425,Outside,FALSE,10.6,40,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,2002-09-26,1.4379935058776425,Outside,FALSE,8.5,40,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,2003-09-09,0,Outside,FALSE,15,15,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,2003-09-25,0,Outside,FALSE,15,25,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-07-28,0,Outside,FALSE,9,15,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,0,Outside,FALSE,12.9,5,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,1.3368949363814202,Outside,FALSE,5.5,8,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,1.5831166082103512,Outside,FALSE,12.5,35,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,0.8544601570764973,Outside,FALSE,10.5,6,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,2008,2008-09-09,1.4001669382641604,Outside,FALSE,7,70,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,2009,2009-08-18,1.1507797044071182,Outside,FALSE,11.2,5,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,2010,2010-07-29,0.9724488631674205,Outside,FALSE,5.5,20,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,2011,2011-09-15,1.2905345676574236,Outside,FALSE,10.5,35,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,2012,2012-07-25,0.6849448336832616,Outside,FALSE,5.2,12,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,2013,2013-10-20,1.7223352201753628,Outside,FALSE,13,5,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,2014,2014-10-01,1.7067678385171816,Outside,FALSE,9,35,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,2015,2015-09-15,2.090758164135655,Outside,FALSE,17,8,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,2016,2016-08-10,1.4908435692369093,Outside,FALSE,7.7,15,43.27,VFT
1,SM,San Miguel Island,WL,Wyckoff Ledge,2017,2017-07-27,0.8261912342667879,Outside,FALSE,9,14,43.27,VFT
