SiteNumber,IslandCode,IslandName,SiteCode,SiteName,SurveyYear,Date,ScientificName,CommonName,ReserveStatus,Reference,Count,HorizontalSecci,Surge,MeanDepth
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Alloclinus holderi,island kelpfish,Outside,FALSE,0,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Artedius corallinus,coralline sculpin,Outside,FALSE,1,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Atherinops affinis,top smelt,Outside,FALSE,100,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Aulorhynchus flavidus,tubesnout,Outside,FALSE,237,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Brachyistius frenatus,kelp surfperch,Outside,FALSE,21,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Chromis punctipinnis,"blacksmith, adult",Outside,FALSE,0,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Chromis punctipinnis,"blacksmith, juvenile",Outside,FALSE,0,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Citharichthys stigmaeus,speckled sanddab,Outside,FALSE,12,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Coryphopterus nicholsi,blackeye goby,Outside,FALSE,12,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Cottidae,sculpin spp.,Outside,FALSE,1,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Embiotoca jacksoni,"black surfperch, adult",Outside,FALSE,1,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Embiotoca jacksoni,"black surfperch, juvenile",Outside,FALSE,4,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Embiotoca lateralis,"striped surfperch, adult",Outside,FALSE,8,12.9,5,43.27
