SiteNumber,IslandCode,IslandName,SiteCode,SiteName,SurveyYear,Date,CommonName,ScientificName,ReserveStatus,Reference,Mean_Density,HorizontalSecci,Surge,MeanDepth
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,"black surfperch, adult",Embiotoca jacksoni,Outside,FALSE,0.0033,13,10,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,"black surfperch, juvenile",Embiotoca jacksoni,Outside,FALSE,0,13,10,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,"blacksmith, adult",Chromis punctipinnis,Outside,FALSE,0,13,10,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,"blacksmith, juvenile",Chromis punctipinnis,Outside,FALSE,0,13,10,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,"blue rockfish, adult",Sebastes mystinus,Outside,FALSE,0.0017,13,10,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,"blue rockfish, juvenile",Sebastes mystinus,Outside,FALSE,0.0267,13,10,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,"California sheephead, female",Semicossyphus pulcher,Outside,FALSE,0,13,10,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,"California sheephead, male",Semicossyphus pulcher,Outside,FALSE,0,13,10,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,"garibaldi, adult",Hypsypops rubicundus,Outside,FALSE,0,13,10,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,"garibaldi, juvenile",Hypsypops rubicundus,Outside,FALSE,0,13,10,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,"kelp bass, adult",Paralabrax clathratus,Outside,FALSE,0,13,10,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,"kelp bass, juvenile",Paralabrax clathratus,Outside,FALSE,0,13,10,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,"kelp rockfish, adult",Sebastes atrovirens,Outside,FALSE,0.0017,13,10,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,"kelp rockfish, juvenile",Sebastes atrovirens,Outside,FALSE,0,13,10,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,"olive rockfish, adult",Sebastes serranoides,Outside,FALSE,0.0017,13,10,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,"olive rockfish, juvenile",Sebastes serranoides,Outside,FALSE,0,13,10,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,"opaleye, adult",Girella nigricans,Outside,FALSE,0,13,10,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,"opaleye, juvenile",Girella nigricans,Outside,FALSE,0,13,10,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,"pile perch, adult",Rhacochilus vacca,Outside,FALSE,0.015,13,10,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,"pile perch, juvenile",Rhacochilus vacca,Outside,FALSE,0,13,10,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,"senorita, adult",Oxyjulis californica,Outside,FALSE,0,13,10,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,"senorita, juvenile",Oxyjulis californica,Outside,FALSE,0,13,10,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,"striped surfperch, adult",Embiotoca lateralis,Outside,FALSE,0.0067,13,10,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,"striped surfperch, juvenile",Embiotoca lateralis,Outside,FALSE,0,13,10,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,"black surfperch, adult",Embiotoca jacksoni,Outside,FALSE,0.0017,6.5,7,43.27
